len,count
138,0.786987588
139,0.789687924
140,0.792412768
141,0.79503958
142,0.797708725
143,0.800431341
144,0.803026961
145,0.805618125
146,0.808093433
147,0.810769262
148,0.813117574
149,0.815432466
150,0.817725078
151,0.81996199
152,0.822207814
153,0.824591775
154,0.826960139
155,0.829185911
156,0.831393859
157,0.833548335
158,0.83567162
159,0.837763712
160,0.839862488
161,0.841947896
162,0.843884028
163,0.84578674
164,0.84762484
165,0.849476309
166,0.851338917
167,0.853087897
168,0.854921541
169,0.856663837
170,0.858354889
171,0.860161797
172,0.861857306
173,0.863566182
174,0.865301794
175,0.866995074
176,0.868686126
177,0.87030811
178,0.87191227
179,0.873552078
180,0.875042611
181,0.876508635
182,0.878023675
183,0.879592187
184,0.881100543
185,0.882573251
186,0.884063783
187,0.885487475
188,0.886804223
189,0.888276932
190,0.889691712
191,0.890979496
192,0.892216036
193,0.893506048
194,0.894767096
195,0.896074932
196,0.897315928
197,0.898581432
198,0.899849164
199,0.901032232
200,0.902228669
201,0.903289197
202,0.904552473
203,0.905673157
204,0.906760421
205,0.907838773
206,0.908917125
207,0.910060089
208,0.911102793
209,0.912078657
210,0.913141413
211,0.914215309
212,0.915204542
213,0.916229422
214,0.917203058
215,0.918250218
216,0.919190434
217,0.920137334
218,0.92114439
219,0.922173726
220,0.92311617
221,0.923982862
222,0.924880746
223,0.925758578
224,0.926687654
225,0.927518698
226,0.928383163
227,0.929129543
228,0.929907115
229,0.930698055
230,0.931535783
231,0.932282163
232,0.933088699
233,0.933872955
234,0.934683947
235,0.935416959
236,0.936132147
237,0.936816143
238,0.937573663
239,0.938302219
240,0.939066423
241,0.939757103
242,0.940436643
243,0.94113178
244,0.94182246
245,0.942553244
246,0.9431704
247,0.943823204
248,0.944409168
249,0.944983992
250,0.945641252
251,0.946285144
252,0.946937948
253,0.947523912
254,0.948187856
255,0.948715892
256,0.94927512
257,0.949838804
258,0.950476012
259,0.950999592
260,0.951512032
261,0.952028928
262,0.952563648
263,0.953085
264,0.953648684
265,0.954163353
266,0.954666881
267,0.955188233
268,0.955745233
269,0.956275497
270,0.956745605
271,0.957213485
272,0.957701417
273,0.958144789
274,0.958599301
275,0.959118425
276,0.959624181
277,0.960069781
278,0.960548801
279,0.960992173
280,0.961408809
281,0.961843269
282,0.962311149
283,0.962707733
284,0.963188981
285,0.963587793
286,0.964055673
287,0.964438889
288,0.964831017
289,0.965267705
290,0.965597449
291,0.965967297
292,0.966383933
293,0.966778289
294,0.967128086
295,0.967544722
296,0.967930166
297,0.968300014
298,0.968669862
299,0.969041938
300,0.969409558
301,0.96974153
302,0.970126974
303,0.970483454
304,0.97083325
305,0.971125118
306,0.971486054
307,0.971771238
308,0.972100982
309,0.972444094
310,0.972811714
311,0.973168194
312,0.973457834
313,0.973825454
314,0.974146286
315,0.974455978
316,0.974794634
317,0.975106554
318,0.975393966
319,0.975710342
320,0.976006666
321,0.976285166
322,0.976556982
323,0.976862218
324,0.977136262
325,0.977412534
326,0.977659842
327,0.977867046
328,0.978123266
329,0.978383942
330,0.978613426
331,0.978829542
332,0.97908799
333,0.979339754
334,0.979562554
335,0.979796494
336,0.98004603
337,0.980300023
338,0.980545103
339,0.980752307
340,0.980966195
341,0.981226871
342,0.981425163
343,0.981645735
344,0.981877447
345,0.982075739
346,0.982327503
347,0.982536935
348,0.982753051
349,0.982998131
350,0.983191967
351,0.983345699
352,0.983570727
353,0.983762335
354,0.983942803
355,0.984141095
356,0.984305967
357,0.984502031
358,0.984684727
359,0.984840687
360,0.984998875
361,0.985168203
362,0.985362039
363,0.985578155
364,0.985747483
365,0.985921267
366,0.986088367
367,0.986284431
368,0.986433707
369,0.986587439
370,0.986734487
371,0.986912727
372,0.987066459
373,0.987224647
374,0.987393975
375,0.987543251
376,0.987690299
377,0.987819523
378,0.987988851
379,0.988144811
380,0.988316367
381,0.988476783
382,0.988590411
383,0.988733003
384,0.988844403
385,0.989009275
386,0.989138499
387,0.989265495
388,0.989405859
389,0.989526171
390,0.989633115
391,0.989777935
392,0.989896019
393,0.990000735
394,0.990125503
395,0.990241359
396,0.990379495
397,0.990490895
398,0.990593383
399,0.990711467
400,0.990874111
401,0.990969915
402,0.991067947
403,0.991163751
404,0.991259555
405,0.991366499
406,0.991484583
407,0.991573703
408,0.991689559
409,0.991780907
410,0.991867799
411,0.991956919
412,0.992070547
413,0.992179719
414,0.992271067
415,0.992380239
416,0.992498323
417,0.992574075
418,0.992649827
419,0.992743403
420,0.992805787
421,0.992888223
422,0.992968431
423,0.993053095
424,0.993131075
425,0.993217967
426,0.993293719
427,0.993378383
428,0.99347196
429,0.993563308
430,0.993643516
431,0.993699216
432,0.993790564
433,0.993873
434,0.993955436
435,0.99402896
436,0.994111396
437,0.994187148
438,0.994253988
439,0.994316372
440,0.994358704
441,0.994445596
442,0.994503524
443,0.994581504
444,0.994643888
445,0.994724096
446,0.994759744
447,0.9948199
448,0.99490902
449,0.994987
450,0.995058296
451,0.995147416
452,0.99518752
453,0.995214256
454,0.995274412
455,0.995330112
456,0.995408092
457,0.995463792
458,0.995506124
459,0.995550684
460,0.99561084
461,0.995662084
462,0.99568882
463,0.995737836
464,0.995786852
465,0.99584478
466,0.99590048
467,0.995951724
468,0.996002968
469,0.996074264
470,0.996125508
471,0.996183436
472,0.996230224
473,0.996270328
474,0.996319344
475,0.996383956
476,0.996430744
477,0.996477532
478,0.996510952
479,0.996573336
480,0.996604528
481,0.996640176
482,0.996675824
483,0.996722612
484,0.9967694
485,0.99681396
486,0.99685852
487,0.996896396
488,0.996927588
489,0.99696992
490,0.997007796
491,0.99705904
492,0.997112512
493,0.99713702
494,0.997174896
495,0.997215
496,0.99723728
497,0.997277384
498,0.997299664
499,0.997357592
500,0.997375416
501,0.997391012
502,0.99740438
503,0.997440028
504,0.997480132
505,0.99751578
506,0.997544744
507,0.997575936
508,0.997609356
509,0.997642776
510,0.997673968
511,0.997709616
512,0.997736352
513,0.99776086
514,0.99779428
515,0.9978277
516,0.997843296
517,0.997852208
518,0.997876716
519,0.99790568
520,0.997943556
521,0.99796138
522,0.997981432
523,0.99800594
524,0.998023764
525,0.998034904
526,0.998057184
527,0.998077236
528,0.998110656
529,0.99815076
530,0.998179724
531,0.998199776
532,0.9982176
533,0.998237652
534,0.99825102
535,0.998279984
536,0.998297808
537,0.998329
538,0.998337912
539,0.998355736
540,0.99837356
541,0.998400296
542,0.998409208
543,0.998431488
544,0.998444856
545,0.998455996
546,0.998476048
547,0.998505012
548,0.998522836
549,0.998549572
550,0.998571852
551,0.998589676
552,0.998605272
553,0.998625324
554,0.998649832
555,0.998665428
556,0.998683252
557,0.998703304
558,0.998716672
559,0.998721128
560,0.998732268
561,0.998738952
562,0.998750092
563,0.9987746
564,0.998792424
565,0.998812476
566,0.998823616
567,0.998836984
568,0.99885258
569,0.998861492
570,0.998883772
571,0.998892684
572,0.998901596
573,0.99891942
574,0.998935016
575,0.99895284
576,0.99896398
577,0.998981804
578,0.998990716
579,0.999015224
580,0.999024136
581,0.99903082
582,0.999035276
583,0.999044188
584,0.999062012
585,0.999066468
586,0.999082064
587,0.999093204
588,0.999102116
589,0.999111028
590,0.99911994
591,0.99913108
592,0.999148904
593,0.999151132
594,0.99915336
595,0.999168956
596,0.999177868
598,0.999182324
599,0.999191236
600,0.99919792
601,0.999215744
602,0.9992202
603,0.999226884
604,0.999238024
605,0.999244708
606,0.999255848
607,0.99926476
608,0.999278128
609,0.999295952
610,0.99930932
611,0.999313776
612,0.999322688
613,0.999327144
614,0.999336056
616,0.99934274
617,0.999351652
618,0.999358336
619,0.999360564
620,0.99936502
621,0.999367248
622,0.999380616
623,0.999396212
624,0.99940958
625,0.99942072
626,0.999427404
627,0.999429632
628,0.999434088
629,0.999440772
630,0.999451912
631,0.999456368
633,0.99946528
634,0.999474192
635,0.999478648
636,0.999483104
637,0.999489788
638,0.999492016
639,0.9994987
641,0.999503156
642,0.999507612
643,0.999514296
644,0.999518752
645,0.999523208
646,0.999525436
647,0.999527664
648,0.999534348
649,0.999541032
650,0.99954326
652,0.999549944
654,0.9995544
655,0.999561084
656,0.99956554
657,0.999574452
658,0.999578908
659,0.999583364
660,0.99958782
661,0.999590048
662,0.99959896
663,0.999603416
664,0.999605644
666,0.9996101
667,0.999616784
668,0.99962124
669,0.999625696
670,0.999627924
671,0.999636836
672,0.999639064
673,0.999650204
674,0.99965466
675,0.999656888
677,0.999668028
682,0.99967694
683,0.999683624
684,0.999685852
685,0.99968808
686,0.999692536
687,0.999696992
688,0.99969922
691,0.999703676
693,0.999708132
695,0.999712588
696,0.999717044
697,0.999719272
698,0.999730412
700,0.999737096
701,0.99974378
703,0.999746008
704,0.999750464
706,0.999752692
708,0.99975492
713,0.999757148
714,0.999761604
715,0.999768288
716,0.999770516
717,0.999772744
718,0.999774972
724,0.999781656
725,0.999783884
728,0.999786112
729,0.99978834
730,0.999792796
732,0.999795024
733,0.999797252
734,0.99979948
735,0.999801708
736,0.999803936
737,0.999808392
738,0.99981062
739,0.999812848
740,0.999815076
741,0.999819532
743,0.99982176
745,0.999823988
746,0.999826216
747,0.999830672
748,0.9998329
750,0.999835128
754,0.999837356
756,0.99984404
758,0.999848496
759,0.999850724
760,0.999852952
761,0.999857408
762,0.999859636
765,0.999864092
766,0.99986632
768,0.999868548
774,0.999870776
775,0.999875232
776,0.99987746
777,0.999879688
781,0.999881916
785,0.999884144
786,0.999886372
787,0.999890828
790,0.999893056
791,0.999895284
792,0.999897512
797,0.99989974
800,0.999901968
801,0.999906424
804,0.999908652
809,0.99991088
813,0.999913108
819,0.999915336
822,0.999917564
829,0.999919792
830,0.99992202
831,0.999924248
838,0.999926476
840,0.999930932
844,0.99993316
845,0.999935388
848,0.999937616
859,0.999939844
860,0.9999443
866,0.999946528
878,0.999948756
894,0.999953212
900,0.999957668
905,0.999959896
906,0.999962124
916,0.999964352
947,0.99996658
953,0.999968808
966,0.999971036
970,0.999973264
984,0.999975492
992,0.99997772
1003,0.999979948
1009,0.999982176
1010,0.999984404
1068,0.999986632
1085,0.99998886
1115,0.999991088
1219,0.999993316
1221,0.999995544
1256,0.999997772
1354,1
